#name	value
uc009vfk.1	382301
uc009vfo.1	380994
uc009vfp.1	380994
uc009vfq.1	100039810
uc012hsg.1	100040022
uc009vgb.1	380994
uc009vgc.1	380994
uc009vgg.1	100040031
uc012hsn.1	100040160
uc012hsq.1	100040911
uc009vgn.1	380994
uc009vgo.1	380994
uc009vgt.1	100040031
uc009vgz.1	434935
uc012hsu.1	100042428
uc009vhd.2	100040031
uc009vhe.1	382301
uc009vhm.1	100039810
uc012hsy.1	100316755
uc009vht.1	22202
uc009vhu.1	22202
uc012hta.1	100039614
uc009vhv.1	100041256
uc012htb.1	100039614
uc009via.1	380994
uc009vib.1	380994
uc009vii.1	380994
uc009vil.2	434960
uc012hte.1	100041223
uc012htf.1	100039614
uc012hth.1	100039574
uc012hti.1	100039753
uc012htl.1	100039614
uc009vfn.1	100041256
uc009vfs.1	100039810
uc012hsi.1	100040022
uc012hsj.1	74484
uc012hsk.1	100041550
uc009vfv.1	20611
uc009vfw.1	100040223
uc009vga.1	100040031
uc012hsm.1	100039614
uc009vgd.1	100039614
uc009vgh.1	380994
uc009vgi.1	380994
uc012hsp.1	100040786
uc009vgk.1	70009
uc012hsr.1	100041223
uc012hst.1	100039614
uc009vha.1	382301
uc009vhb.1	380994
uc009vhc.1	380994
uc012hsv.1	100039574
uc012hsw.1	100039614
uc009vhk.1	380994
uc009vhl.1	380994
uc012hsx.1	100041550
uc009vhz.1	434935
uc012htd.1	100041223
uc009vie.2	434960
uc009vif.1	20611
uc009vih.1	100040031
uc009vij.1	380994
uc009vik.1	380994
uc009uyp.1	331360
uc009uyo.1	192289
uc009vfj.1	100038977
uc009uym.1	20955
uc009uyn.1	236576
uc009uyr.2	100039890
uc009uys.1	18422
uc012hrs.1	723956
uc012hdn.1	108816
uc009sjq.2	100041253
uc009sjr.1	331195
uc009sjt.1	381724
uc012hdt.1	22300
uc009skc.1	22300
uc012hdu.1	77777
uc009skf.1	77777
uc009ski.1	20771
uc009shu.1	236219
uc009shv.2	625360
uc009shw.1	54382
uc009shx.1	380878
uc009shy.1	434632
uc009shz.1	100504239
uc009sja.1	545611
uc012hdo.1	621580
uc009sjb.1	100504239
uc012hdp.1	100041253
uc012hdq.1	100041354
uc012hdr.1	100041354
uc009sjs.2	665943
uc009sjw.2	100041253
uc009skb.2	20770
uc009ske.1	333467
uc009shg.1	75135
uc009shh.1	75135
uc012hdi.1	75135
uc009shl.1	235779
uc009shk.1	235779
uc009shm.1	235779
uc009shp.1	66396
uc009shq.1	66396
uc009shr.1	66396
uc009shs.1	66396
uc009sht.1	66396
uc009shi.2	19054
uc009shj.2	19054
uc012hdj.1	77532
uc009oaf.2	503556
uc009oag.2	574083
uc012gni.1	100041654
uc009oae.1	114564
